sex,gender,year,value
1,Male,2001,63523
2,Female,2001,23832
1,Male,2000,65505
2,Female,2000,24213
1,Male,2004,59695
2,Female,2004,22178
1,Male,2002,61605
2,Female,2002,23174
1,Male,2005,62010
2,Female,2005,23014
1,Male,2006,62310
2,Female,2006,23142
1,Male,2003,59980
2,Female,2003,22304
1,Male,2008,62796
2,Female,2008,24311
1,Male,2007,62451
2,Female,2007,23543
1,Male,2009,62085
2,Female,2009,24973
1,Male,2012,64071
2,Female,2012,26896
1,Male,2011,63024
2,Female,2011,26326
1,Male,2013,66510
2,Female,2013,28084
1,Male,2010,62459
2,Female,2010,25647
1,Male,2014,69801
2,Female,2014,29517
1,Male,2015,74087
2,Female,2015,31344
1,Male,2017,83540
2,Female,2017,34816
1,Male,2016,79460
2,Female,2016,33439
1,Male,2019,90831
2,Female,2019,37252
1,Male,2018,86942
2,Female,2018,36188
